"","ContractID","ConractSize","Currency","Expiration","Strike","Last","Chg","ChgPct","Bid","Ask","Vol","OI","LastTradeTime","IV","ITM","moneyness","logmoneyness","TimeToExp"
"20","SPY231206C00439000","REGULAR","USD",2023-12-06,439,17.28,-0.21999931,-1.257139,17,17.5,39,46,2023-12-06 09:30:00,0.528813305664063,TRUE,1.03881548974943,0.0380811118903478,0
"21","SPY231206C00440000","REGULAR","USD",2023-12-06,440,16.35,-1.0799999,-6.196213,15.86,16.37,36,59,2023-12-06 10:58:19,0.467290483398437,TRUE,1.03645454545455,0.0358057980532122,0
"22","SPY231206C00441000","REGULAR","USD",2023-12-06,441,15.28,-0.26000023,-1.6731031,14.97,15.51,33,42,2023-12-06 13:49:24,0.482915327148438,TRUE,1.03410430839002,0.0335356495186731,0
"23","SPY231206C00442000","REGULAR","USD",2023-12-06,442,14.2,-0.46000004,-3.1377902,14.02,14.49,9,18,2023-12-06 10:44:24,0.453618745117187,TRUE,1.03176470588235,0.0312706428878209,0
"24","SPY231206C00443000","REGULAR","USD",2023-12-06,443,13.54,-0.14000034,-1.0233943,13.02,13.56,11,847,2023-12-06 13:58:11,0.445806323242187,TRUE,1.02943566591422,0.0290107549203834,0
"25","SPY231206C00444000","REGULAR","USD",2023-12-06,444,11.98,-0.27000046,-2.2040854,12.02,12.48,15,17,2023-12-06 14:28:44,0.401861450195312,TRUE,1.02711711711712,0.0267559625332943,0
"26","SPY231206C00445000","REGULAR","USD",2023-12-06,445,11.54,0.17000008,1.4951634,10.98,11.57,59,113,2023-12-06 13:59:46,0.396978686523437,TRUE,1.02480898876405,0.0245062427992789,0
"27","SPY231206C00446000","REGULAR","USD",2023-12-06,446,10.39,0.17000008,1.6634058,9.99,10.51,44,41,2023-12-06 11:25:20,0.358404853515625,TRUE,1.02251121076233,0.0222615729454551,0
"28","SPY231206C00447000","REGULAR","USD",2023-12-06,447,9.88,0.069999695,0.71355444,9.02,9.49,13,89,2023-12-06 11:29:34,0.32813171875,TRUE,1.02022371364653,0.0200219303519502,0
"29","SPY231206C00448000","REGULAR","USD",2023-12-06,448,8.43,-0.22999954,-2.6558838,8.02,8.53,28,55,2023-12-06 11:32:37,0.310065493164063,TRUE,1.01794642857143,0.0177872925505339,0
"30","SPY231206C00449000","REGULAR","USD",2023-12-06,449,7,-0.63999987,-8.376962,7.01,7.49,73,140,2023-12-06 14:27:55,0.27539787109375,TRUE,1.01567928730512,0.0155576372232648,0
"31","SPY231206C00450000","REGULAR","USD",2023-12-06,450,6.35,-0.36000013,-5.365129,5.97,6.36,154,577,2023-12-06 14:18:29,0.223640576171875,TRUE,1.01342222222222,0.0133329422011536,0
"32","SPY231206C00451000","REGULAR","USD",2023-12-06,451,5.49,-0.26000023,-4.5217433,5,5.54,247,353,2023-12-06 14:33:22,0.22852333984375,TRUE,1.01117516629712,0.0111131854628407,0
